Date,Time,Lat,Lon,Base
7/26/2014,17:09:00,40.8266,-73.9264,B02512
7/26/2014,23:43:00,40.8294,-73.8196,B02512
7/27/2014,06:53:00,40.8567,-73.8628,B02512
7/27/2014,11:19:00,40.8154,-73.905,B02512
7/27/2014,14:15:00,40.8698,-73.8653,B02512
7/27/2014,14:27:00,40.851,-73.8959,B02512
7/27/2014,14:28:00,40.8406,-73.8732,B02512
7/27/2014,15:40:00,40.8292,-73.9286,B02512
7/28/2014,14:08:00,40.8033,-73.9121,B02512
7/28/2014,23:48:00,40.8451,-73.8813,B02512
7/29/2014,05:20:00,40.8914,-73.9041,B02512
7/29/2014,09:31:00,40.9035,-73.9064,B02512
7/29/2014,16:39:00,40.8789,-73.9149,B02512
7/29/2014,17:06:00,40.8853,-73.9078,B02512
7/29/2014,18:30:00,40.8888,-73.8313,B02512
7/29/2014,19:42:00,40.8613,-73.8904,B02512
7/30/2014,07:35:00,40.8597,-73.8858,B02512
7/30/2014,10:16:00,40.8298,-73.928,B02512
7/30/2014,11:45:00,40.8171,-73.9188,B02512
7/30/2014,19:57:00,40.8294,-73.9284,B02512
7/30/2014,20:33:00,40.8295,-73.9281,B02512
7/30/2014,22:35:00,40.8862,-73.8229,B02512
7/31/2014,10:48:00,40.8308,-73.9293,B02512
7/31/2014,15:08:00,40.8152,-73.8461,B02512
7/31/2014,23:14:00,40.8166,-73.9286,B02512
7/1/2014,1:40:00,40.8185,-73.9223,B02598
7/1/2014,4:59:00,40.8734,-73.8853,B02598
7/1/2014,5:36:00,40.8303,-73.9206,B02598
7/1/2014,5:51:00,40.8303,-73.9206,B02598
7/1/2014,5:52:00,40.8836,-73.9141,B02598
7/1/2014,7:26:00,40.8364,-73.8604,B02598
7/1/2014,8:04:00,40.8639,-73.909,B02598
7/1/2014,8:13:00,40.8846,-73.9084,B02598
7/1/2014,8:22:00,40.8961,-73.9012,B02598
7/1/2014,8:43:00,40.9104,-73.9031,B02598
7/1/2014,8:49:00,40.8031,-73.9204,B02598
7/1/2014,9:26:00,40.8853,-73.9063,B02598
7/1/2014,9:48:00,40.8856,-73.9139,B02598
7/1/2014,11:14:00,40.8226,-73.9116,B02598
7/1/2014,11:15:00,40.8855,-73.911,B02598
7/1/2014,12:03:00,40.8702,-73.8458,B02598
7/1/2014,13:33:00,40.8855,-73.9121,B02598
7/1/2014,13:35:00,40.8904,-73.917,B02598
7/1/2014,14:07:00,40.8805,-73.8788,B02598
7/1/2014,14:48:00,40.8931,-73.8996,B02598
7/1/2014,17:34:00,40.8526,-73.8435,B02598
7/1/2014,19:19:00,40.8486,-73.8457,B02598
7/1/2014,19:45:00,40.8267,-73.9244,B02598
7/1/2014,19:53:00,40.831,-73.9268,B02598
7/1/2014,19:53:00,40.831,-73.9268,B02598
7/1/2014,19:59:00,40.8294,-73.9282,B02598
7/1/2014,20:19:00,40.8273,-73.9247,B02598
7/1/2014,20:27:00,40.8312,-73.9268,B02598
7/1/2014,20:32:00,40.8306,-73.9271,B02598
7/1/2014,20:37:00,40.8292,-73.9287,B02598
7/1/2014,20:40:00,40.8294,-73.9285,B02598
7/1/2014,21:00:00,40.8301,-73.9276,B02598
7/1/2014,21:00:00,40.8898,-73.9127,B02598
7/1/2014,21:09:00,40.8266,-73.9229,B02598
7/1/2014,21:10:00,40.8316,-73.9263,B02598
7/1/2014,21:11:00,40.8269,-73.9253,B02598
7/1/2014,21:27:00,40.8294,-73.9285,B02598
7/1/2014,21:33:00,40.8309,-73.9271,B02598
7/1/2014,21:45:00,40.8305,-73.927,B02598
7/1/2014,21:50:00,40.8294,-73.9283,B02598
7/1/2014,21:56:00,40.8295,-73.9283,B02598
7/1/2014,22:08:00,40.8309,-73.9269,B02598
7/1/2014,23:57:00,40.814,-73.8146,B02598
7/2/2014,2:49:00,40.8382,-73.9236,B02598
7/2/2014,7:14:00,40.8933,-73.9089,B02598
7/2/2014,8:19:00,40.8849,-73.9082,B02598
7/2/2014,10:24:00,40.8222,-73.9307,B02598
7/2/2014,11:19:00,40.8554,-73.8871,B02598
7/2/2014,12:27:00,40.8435,-73.912,B02598
7/2/2014,13:19:00,40.8465,-73.8558,B02598
7/2/2014,13:29:00,40.8309,-73.9269,B02598
7/2/2014,13:48:00,40.827,-73.9242,B02598
7/2/2014,15:24:00,40.8995,-73.9011,B02598
7/2/2014,15:49:00,40.8294,-73.9238,B02598
7/2/2014,16:07:00,40.8269,-73.9244,B02598
7/2/2014,16:10:00,40.8653,-73.838,B02598
7/2/2014,16:58:00,40.8901,-73.8982,B02598
7/2/2014,17:23:00,40.8313,-73.9265,B02598
