Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B01606,LA MEXICANA EXPRESS INC.,06/20/2015,4297,128
B01606,LA MEXICANA EXPRESS INC.,06/13/2015,4190,124
B01606,LA MEXICANA EXPRESS INC.,06/19/2015,3831,127
B01386,FENIX CAR SVCE CORP,01/31/2015,3763,209
B01606,LA MEXICANA EXPRESS INC.,06/06/2015,3735,122
B01606,LA MEXICANA EXPRESS INC.,06/12/2015,3732,123
B01606,LA MEXICANA EXPRESS INC.,06/15/2015,3675,127
B01606,LA MEXICANA EXPRESS INC.,06/05/2015,3540,126
B01606,LA MEXICANA EXPRESS INC.,06/11/2015,3540,114
B01606,LA MEXICANA EXPRESS INC.,06/07/2015,3433,105
B01606,LA MEXICANA EXPRESS INC.,06/01/2015,3370,122
B01606,LA MEXICANA EXPRESS INC.,06/02/2015,3368,127
B01606,LA MEXICANA EXPRESS INC.,06/18/2015,3352,127
B01606,LA MEXICANA EXPRESS INC.,06/08/2015,3340,122
B01606,LA MEXICANA EXPRESS INC.,06/21/2015,3313,109
B01606,LA MEXICANA EXPRESS INC.,06/03/2015,3277,115
B01606,LA MEXICANA EXPRESS INC.,06/16/2015,3263,122
B01606,LA MEXICANA EXPRESS INC.,06/17/2015,3223,123
B01386,FENIX CAR SVCE CORP,01/30/2015,3178,213
B00256,FAST OPERATING CORP,04/23/2015,3174,701
B00256,FAST OPERATING CORP,05/21/2015,3167,676
B00256,FAST OPERATING CORP,05/14/2015,3164,660
B01606,LA MEXICANA EXPRESS INC.,06/10/2015,3141,117
B00256,FAST OPERATING CORP,03/19/2015,3090,683
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/13/2015,3081,759
B01386,FENIX CAR SVCE CORP,01/17/2015,3075,200
B00256,FAST OPERATING CORP,05/22/2015,3067,680
B01606,LA MEXICANA EXPRESS INC.,06/14/2015,3065,100
B00256,FAST OPERATING CORP,04/30/2015,3047,690
B00256,FAST OPERATING CORP,04/02/2015,3017,690
B01606,LA MEXICANA EXPRESS INC.,06/09/2015,3010,115
B00256,FAST OPERATING CORP,05/07/2015,3008,672
B01386,FENIX CAR SVCE CORP,01/24/2015,3006,202
B00256,FAST OPERATING CORP,04/24/2015,3004,684
B01606,LA MEXICANA EXPRESS INC.,06/04/2015,2994,120
B00256,FAST OPERATING CORP,05/15/2015,2992,675
B01386,FENIX CAR SVCE CORP,01/18/2015,2987,185
B00256,FAST OPERATING CORP,04/16/2015,2987,704
B00256,FAST OPERATING CORP,05/28/2015,2979,657
B00256,FAST OPERATING CORP,03/13/2015,2967,667
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/12/2015,2957,770
B00256,FAST OPERATING CORP,04/20/2015,2952,654
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/19/2015,2951,684
B00256,FAST OPERATING CORP,03/26/2015,2933,661
B00256,FAST OPERATING CORP,04/09/2015,2924,670
B00256,FAST OPERATING CORP,03/12/2015,2917,678
B00256,FAST OPERATING CORP,05/08/2015,2907,683
B00256,FAST OPERATING CORP,05/20/2015,2905,653
B00256,FAST OPERATING CORP,05/19/2015,2899,613
B00256,FAST OPERATING CORP,05/01/2015,2897,672
B00256,FAST OPERATING CORP,04/17/2015,2885,705
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/20/2015,2868,736
B00256,FAST OPERATING CORP,05/13/2015,2867,625
B00256,FAST OPERATING CORP,03/27/2015,2839,670
B00256,FAST OPERATING CORP,05/18/2015,2837,640
B00256,FAST OPERATING CORP,05/11/2015,2833,653
B00256,FAST OPERATING CORP,04/03/2015,2816,678
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/05/2015,2809,747
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/26/2015,2805,746
B00256,FAST OPERATING CORP,04/22/2015,2802,652
B00256,FAST OPERATING CORP,03/18/2015,2773,673
B01386,FENIX CAR SVCE CORP,01/09/2015,2771,204
B00256,FAST OPERATING CORP,05/06/2015,2771,642
B00256,FAST OPERATING CORP,04/10/2015,2767,677
B01341,A NEW DAY RAD DISP INC,02/13/2015,2766,159
B00256,FAST OPERATING CORP,04/13/2015,2758,663
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/18/2015,2747,723
B00256,FAST OPERATING CORP,05/04/2015,2747,633
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/15/2015,2739,767
B00256,FAST OPERATING CORP,04/15/2015,2738,662
B00256,FAST OPERATING CORP,05/26/2015,2735,623
B00256,FAST OPERATING CORP,05/29/2015,2733,647
B00256,FAST OPERATING CORP,04/27/2015,2727,647
B00256,FAST OPERATING CORP,03/23/2015,2726,655
B00256,FAST OPERATING CORP,04/01/2015,2726,644
B01386,FENIX CAR SVCE CORP,01/03/2015,2720,192
B00256,FAST OPERATING CORP,03/16/2015,2708,666
B01386,FENIX CAR SVCE CORP,01/10/2015,2701,196
B00256,FAST OPERATING CORP,03/04/2015,2688,617
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/27/2015,2687,751
B00256,FAST OPERATING CORP,03/25/2015,2671,649
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/16/2015,2667,759
B00256,FAST OPERATING CORP,05/27/2015,2663,624
B00256,FAST OPERATING CORP,03/11/2015,2657,647
B00256,FAST OPERATING CORP,05/12/2015,2651,626
B00256,FAST OPERATING CORP,03/02/2015,2646,576
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/16/2015,2637,705
B00256,FAST OPERATING CORP,03/09/2015,2633,641
B00256,FAST OPERATING CORP,04/21/2015,2633,614
B00256,FAST OPERATING CORP,04/07/2015,2630,612
B01386,FENIX CAR SVCE CORP,01/16/2015,2629,201
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/06/2015,2620,739
B01386,FENIX CAR SVCE CORP,01/23/2015,2607,206
B00256,FAST OPERATING CORP,03/10/2015,2590,632
B00256,FAST OPERATING CORP,03/24/2015,2586,620
B00256,FAST OPERATING CORP,04/08/2015,2586,642
B00256,FAST OPERATING CORP,05/05/2015,2586,606
B00256,FAST OPERATING CORP,03/06/2015,2585,607
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/23/2015,2584,720
B00256,FAST OPERATING CORP,04/29/2015,2580,637
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/25/2015,2572,741
B00256,FAST OPERATING CORP,03/30/2015,2568,641
B00256,FAST OPERATING CORP,03/20/2015,2567,606
B00256,FAST OPERATING CORP,03/31/2015,2559,623
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/08/2015,2557,711
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/04/2015,2543,728
B01386,FENIX CAR SVCE CORP,01/08/2015,2517,204
B00256,FAST OPERATING CORP,04/14/2015,2513,618
B01386,FENIX CAR SVCE CORP,01/11/2015,2501,186
B00256,FAST OPERATING CORP,04/06/2015,2500,637
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/29/2015,2498,737
B00457,PREMIUM BRONX CORP,02/06/2015,2498,124
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/24/2015,2479,692
B00256,FAST OPERATING CORP,04/28/2015,2479,625
B01386,FENIX CAR SVCE CORP,01/25/2015,2475,189
B00310,WATSON CAR SERVICE INC.,02/28/2015,2475,150
B01606,LA MEXICANA EXPRESS INC.,05/09/2015,2474,116
B00457,PREMIUM BRONX CORP,02/27/2015,2473,132
B00457,PREMIUM BRONX CORP,02/14/2015,2471,122
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/03/2015,2465,639
B01341,A NEW DAY RAD DISP INC,02/27/2015,2452,170
B01606,LA MEXICANA EXPRESS INC.,05/16/2015,2432,116
B02653,NEW COLLEGE CAR SVCE INC,02/28/2015,2430,119
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/05/2015,2427,761
B00310,WATSON CAR SERVICE INC.,03/07/2015,2415,140
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/11/2015,2404,755
B00310,WATSON CAR SERVICE INC.,02/20/2015,2404,154
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/23/2015,2402,759
B00310,WATSON CAR SERVICE INC.,02/13/2015,2391,155
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/22/2015,2377,750
B01386,FENIX CAR SVCE CORP,01/07/2015,2371,193
B00256,FAST OPERATING CORP,05/16/2015,2370,542
B00457,PREMIUM BRONX CORP,02/20/2015,2362,131
B00457,PREMIUM BRONX CORP,02/13/2015,2358,122
B01606,LA MEXICANA EXPRESS INC.,05/30/2015,2354,116
B00256,FAST OPERATING CORP,03/17/2015,2351,597
B00310,WATSON CAR SERVICE INC.,01/31/2015,2346,152
B00256,FAST OPERATING CORP,03/03/2015,2345,584
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/12/2015,2337,710
B00310,WATSON CAR SERVICE INC.,03/08/2015,2331,130
B02653,NEW COLLEGE CAR SVCE INC,03/06/2015,2328,113
B00310,WATSON CAR SERVICE INC.,02/06/2015,2307,155
B00310,WATSON CAR SERVICE INC.,03/14/2015,2304,140
B01386,FENIX CAR SVCE CORP,01/29/2015,2286,211
B00310,WATSON CAR SERVICE INC.,02/07/2015,2276,147
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/10/2015,2276,702
B01341,A NEW DAY RAD DISP INC,02/06/2015,2273,171
B01606,LA MEXICANA EXPRESS INC.,05/02/2015,2273,119
B00256,FAST OPERATING CORP,03/21/2015,2267,545
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/14/2015,2265,715
B01606,LA MEXICANA EXPRESS INC.,05/01/2015,2263,119
B00457,PREMIUM BRONX CORP,02/07/2015,2260,129
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/30/2015,2257,710
B00256,FAST OPERATING CORP,03/14/2015,2253,550
B01386,FENIX CAR SVCE CORP,01/06/2015,2251,191
B01386,FENIX CAR SVCE CORP,01/28/2015,2250,207
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/06/2015,2246,682
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/09/2015,2234,693
B00256,FAST OPERATING CORP,05/17/2015,2231,534
B01016,810 CAR SVCE CORP,07/31/2015,2230,75
B00310,WATSON CAR SERVICE INC.,01/30/2015,2226,152
B02653,NEW COLLEGE CAR SVCE INC,03/07/2015,2223,117
B00310,WATSON CAR SERVICE INC.,02/08/2015,2215,142
B00310,WATSON CAR SERVICE INC.,02/27/2015,2213,144
B00310,WATSON CAR SERVICE INC.,03/15/2015,2209,126
B00256,FAST OPERATING CORP,03/22/2015,2206,578
B00310,WATSON CAR SERVICE INC.,04/05/2015,2206,119
B00310,WATSON CAR SERVICE INC.,03/28/2015,2203,139
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/04/2015,2197,653
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/20/2015,2191,707
B00310,WATSON CAR SERVICE INC.,02/03/2015,2187,136
B01606,LA MEXICANA EXPRESS INC.,05/08/2015,2183,118
B00457,PREMIUM BRONX CORP,02/22/2015,2176,109
B01386,FENIX CAR SVCE CORP,01/02/2015,2170,183
B02653,NEW COLLEGE CAR SVCE INC,02/13/2015,2168,121
B00256,FAST OPERATING CORP,04/12/2015,2167,543
B00310,WATSON CAR SERVICE INC.,03/27/2015,2161,148
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/28/2015,2160,673
B01386,FENIX CAR SVCE CORP,01/12/2015,2152,198
B00256,FAST OPERATING CORP,04/26/2015,2151,555
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/19/2015,2149,681
B01606,LA MEXICANA EXPRESS INC.,05/23/2015,2145,114
B01341,A NEW DAY RAD DISP INC,02/20/2015,2144,168
B02653,NEW COLLEGE CAR SVCE INC,02/27/2015,2144,114
B00310,WATSON CAR SERVICE INC.,05/10/2015,2144,123
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/13/2015,2141,673
B00310,WATSON CAR SERVICE INC.,02/23/2015,2140,146
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/07/2015,2136,683
B00457,PREMIUM BRONX CORP,02/28/2015,2136,134
B00008,T-D MAINTENANCE CORP,07/07/2015,2135,33
B00310,WATSON CAR SERVICE INC.,02/02/2015,2131,106
B00310,WATSON CAR SERVICE INC.,02/22/2015,2130,133
B02653,NEW COLLEGE CAR SVCE INC,02/21/2015,2128,118
B00457,PREMIUM BRONX CORP,02/03/2015,2119,119
B01016,810 CAR SVCE CORP,07/11/2015,2118,71
B00310,WATSON CAR SERVICE INC.,05/03/2015,2116,118
B01341,A NEW DAY RAD DISP INC,01/30/2015,2115,178
B00256,FAST OPERATING CORP,03/15/2015,2115,582
B01386,FENIX CAR SVCE CORP,01/04/2015,2107,176
B00310,WATSON CAR SERVICE INC.,03/21/2015,2106,138
B00310,WATSON CAR SERVICE INC.,02/19/2015,2102,156
B01386,FENIX CAR SVCE CORP,01/13/2015,2090,195
B00256,FAST OPERATING CORP,04/05/2015,2090,552
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/14/2015,2089,617
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/21/2015,2087,717
B02653,NEW COLLEGE CAR SVCE INC,03/14/2015,2087,114
B00310,WATSON CAR SERVICE INC.,02/15/2015,2084,133
B00457,PREMIUM BRONX CORP,02/21/2015,2082,121
B00256,FAST OPERATING CORP,03/07/2015,2078,548
B01016,810 CAR SVCE CORP,07/18/2015,2074,70
B00310,WATSON CAR SERVICE INC.,03/13/2015,2067,145
B00256,FAST OPERATING CORP,05/10/2015,2066,529
B00310,WATSON CAR SERVICE INC.,02/14/2015,2065,153
B01016,810 CAR SVCE CORP,07/25/2015,2062,74
B01315,"V.I.T. CAR SERVICE, INC.",02/20/2015,2061,161
B00310,WATSON CAR SERVICE INC.,02/05/2015,2053,149
B00310,WATSON CAR SERVICE INC.,01/16/2015,2052,153
B00310,WATSON CAR SERVICE INC.,02/04/2015,2052,146
B00310,WATSON CAR SERVICE INC.,03/22/2015,2051,132
B00310,WATSON CAR SERVICE INC.,04/03/2015,2050,133
B00310,WATSON CAR SERVICE INC.,03/04/2015,2049,147
B00310,WATSON CAR SERVICE INC.,02/24/2015,2044,146
B00310,WATSON CAR SERVICE INC.,03/06/2015,2044,139
B00310,WATSON CAR SERVICE INC.,03/03/2015,2040,132
B01606,LA MEXICANA EXPRESS INC.,05/29/2015,2037,113
B01606,LA MEXICANA EXPRESS INC.,06/27/2015,2037,122
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/03/2015,2033,616
B00310,WATSON CAR SERVICE INC.,02/01/2015,2033,143
B00310,WATSON CAR SERVICE INC.,04/12/2015,2032,126
B00310,WATSON CAR SERVICE INC.,05/31/2015,2032,130
B00457,PREMIUM BRONX CORP,02/23/2015,2030,126
B00457,PREMIUM BRONX CORP,02/02/2015,2028,100
B02653,NEW COLLEGE CAR SVCE INC,02/14/2015,2024,118
B00310,WATSON CAR SERVICE INC.,05/08/2015,2023,145
B00310,WATSON CAR SERVICE INC.,03/12/2015,2022,141
B01386,FENIX CAR SVCE CORP,01/15/2015,2021,200
B00310,WATSON CAR SERVICE INC.,03/20/2015,2020,146
B00256,FAST OPERATING CORP,05/23/2015,2020,541
B00310,WATSON CAR SERVICE INC.,01/10/2015,2016,154
B00310,WATSON CAR SERVICE INC.,03/09/2015,2016,145
B00256,FAST OPERATING CORP,05/03/2015,2016,494
B01016,810 CAR SVCE CORP,07/04/2015,2014,71
B00310,WATSON CAR SERVICE INC.,04/02/2015,2013,138
B00310,WATSON CAR SERVICE INC.,05/01/2015,2013,146
B00256,FAST OPERATING CORP,04/19/2015,2012,553
B00310,WATSON CAR SERVICE INC.,04/18/2015,2011,137
B01386,FENIX CAR SVCE CORP,01/14/2015,2010,198
B01606,LA MEXICANA EXPRESS INC.,05/22/2015,2010,122
B00256,FAST OPERATING CORP,05/02/2015,2009,567
B00310,WATSON CAR SERVICE INC.,03/02/2015,2008,135
B01606,LA MEXICANA EXPRESS INC.,05/15/2015,2008,119
B00256,FAST OPERATING CORP,05/30/2015,2008,531
B01606,LA MEXICANA EXPRESS INC.,05/31/2015,2008,100
B01315,"V.I.T. CAR SERVICE, INC.",01/31/2015,2004,154
B00310,WATSON CAR SERVICE INC.,03/29/2015,1999,134
B01016,810 CAR SVCE CORP,07/10/2015,1998,70
B00310,WATSON CAR SERVICE INC.,03/11/2015,1997,142
B01315,"V.I.T. CAR SERVICE, INC.",03/14/2015,1996,154
B00310,WATSON CAR SERVICE INC.,04/24/2015,1992,149
B00310,WATSON CAR SERVICE INC.,02/25/2015,1991,150
B01386,FENIX CAR SVCE CORP,01/05/2015,1985,184
B00256,FAST OPERATING CORP,04/18/2015,1985,575
B00310,WATSON CAR SERVICE INC.,05/09/2015,1984,145
B01016,810 CAR SVCE CORP,07/02/2015,1982,72
B02653,NEW COLLEGE CAR SVCE INC,02/06/2015,1979,112
B00310,WATSON CAR SERVICE INC.,04/04/2015,1976,137
B01016,810 CAR SVCE CORP,07/17/2015,1974,68
B01606,LA MEXICANA EXPRESS INC.,05/24/2015,1970,96
B00310,WATSON CAR SERVICE INC.,02/21/2015,1967,147
B01315,"V.I.T. CAR SERVICE, INC.",02/07/2015,1965,160
B00256,FAST OPERATING CORP,05/09/2015,1965,545
B01626,LA NUEVA QUISQUEYA C/S INC,05/02/2015,1964,129
B02653,NEW COLLEGE CAR SVCE INC,03/01/2015,1962,105
B01606,LA MEXICANA EXPRESS INC.,05/11/2015,1962,117
B01016,810 CAR SVCE CORP,07/03/2015,1960,75
B01016,810 CAR SVCE CORP,07/24/2015,1960,72
B00310,WATSON CAR SERVICE INC.,02/26/2015,1957,149
B00256,FAST OPERATING CORP,03/08/2015,1957,552
B00310,WATSON CAR SERVICE INC.,05/02/2015,1955,139
B01341,A NEW DAY RAD DISP INC,02/03/2015,1954,164
B01606,LA MEXICANA EXPRESS INC.,05/03/2015,1954,102
B00310,WATSON CAR SERVICE INC.,01/09/2015,1953,150
B00310,WATSON CAR SERVICE INC.,02/12/2015,1951,154
B02653,NEW COLLEGE CAR SVCE INC,05/10/2015,1948,106
B00310,WATSON CAR SERVICE INC.,02/18/2015,1947,157
B00256,FAST OPERATING CORP,03/28/2015,1947,532
B00256,FAST OPERATING CORP,04/25/2015,1945,539
B01285,UNION RADIO DISPATCH INC,01/31/2015,1944,167
B00310,WATSON CAR SERVICE INC.,05/16/2015,1943,142
B00256,FAST OPERATING CORP,05/31/2015,1939,520
B02653,NEW COLLEGE CAR SVCE INC,03/13/2015,1938,113
B00457,PREMIUM BRONX CORP,01/31/2015,1935,130
B01315,"V.I.T. CAR SERVICE, INC.",02/14/2015,1935,158
B00310,WATSON CAR SERVICE INC.,04/11/2015,1935,139
B00310,WATSON CAR SERVICE INC.,05/15/2015,1935,150
B01386,FENIX CAR SVCE CORP,01/26/2015,1934,183
B01341,A NEW DAY RAD DISP INC,02/23/2015,1934,155
B01626,LA NUEVA QUISQUEYA C/S INC,06/14/2015,1932,121
B01386,FENIX CAR SVCE CORP,01/20/2015,1926,197
B01285,UNION RADIO DISPATCH INC,02/20/2015,1926,176
B00310,WATSON CAR SERVICE INC.,03/10/2015,1922,141
B01341,A NEW DAY RAD DISP INC,02/24/2015,1921,168
B01341,A NEW DAY RAD DISP INC,02/26/2015,1920,168
B00310,WATSON CAR SERVICE INC.,01/17/2015,1919,152
B01626,LA NUEVA QUISQUEYA C/S INC,06/06/2015,1919,129
B01626,LA NUEVA QUISQUEYA C/S INC,06/27/2015,1919,129
B00457,PREMIUM BRONX CORP,02/15/2015,1918,113
B00310,WATSON CAR SERVICE INC.,05/17/2015,1916,122
B01318,LOWER EAST SIDE C/S CORP,06/01/2015,1916,90
B00310,WATSON CAR SERVICE INC.,04/10/2015,1915,138
B01626,LA NUEVA QUISQUEYA C/S INC,05/16/2015,1913,129
B00256,FAST OPERATING CORP,04/11/2015,1907,549
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/09/2015,1905,599
B01606,LA MEXICANA EXPRESS INC.,06/26/2015,1905,124
B01386,FENIX CAR SVCE CORP,01/19/2015,1904,182
B01606,LA MEXICANA EXPRESS INC.,05/10/2015,1898,104
B01626,LA NUEVA QUISQUEYA C/S INC,06/13/2015,1898,129
B01626,LA NUEVA QUISQUEYA C/S INC,05/09/2015,1897,127
B01386,FENIX CAR SVCE CORP,01/21/2015,1896,192
B00310,WATSON CAR SERVICE INC.,02/17/2015,1895,148
B01626,LA NUEVA QUISQUEYA C/S INC,04/11/2015,1895,129
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/17/2015,1893,601
B00310,WATSON CAR SERVICE INC.,04/25/2015,1893,141
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/22/2015,1891,572
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/11/2015,1888,622
B01315,"V.I.T. CAR SERVICE, INC.",03/28/2015,1883,168
B02653,NEW COLLEGE CAR SVCE INC,04/05/2015,1880,110
B00256,FAST OPERATING CORP,04/04/2015,1878,552
B01626,LA NUEVA QUISQUEYA C/S INC,04/04/2015,1878,129
B01626,LA NUEVA QUISQUEYA C/S INC,05/03/2015,1878,126
B01315,"V.I.T. CAR SERVICE, INC.",04/10/2015,1877,163
B01626,LA NUEVA QUISQUEYA C/S INC,04/25/2015,1876,129
B01626,LA NUEVA QUISQUEYA C/S INC,05/23/2015,1876,130
B00310,WATSON CAR SERVICE INC.,03/19/2015,1875,136
B01315,"V.I.T. CAR SERVICE, INC.",02/19/2015,1874,157
B00310,WATSON CAR SERVICE INC.,01/18/2015,1871,122
B01606,LA MEXICANA EXPRESS INC.,05/17/2015,1869,111
B01285,UNION RADIO DISPATCH INC,02/15/2015,1868,153
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/02/2015,1867,651
B01315,"V.I.T. CAR SERVICE, INC.",02/28/2015,1867,155
B01626,LA NUEVA QUISQUEYA C/S INC,05/30/2015,1864,129
B01386,FENIX CAR SVCE CORP,01/22/2015,1863,199
B01606,LA MEXICANA EXPRESS INC.,05/07/2015,1863,120
B01315,"V.I.T. CAR SERVICE, INC.",03/21/2015,1862,161
B00310,WATSON CAR SERVICE INC.,04/26/2015,1862,123
B02653,NEW COLLEGE CAR SVCE INC,02/20/2015,1858,116
B01341,A NEW DAY RAD DISP INC,02/25/2015,1858,163
B00457,PREMIUM BRONX CORP,02/05/2015,1855,119
B00310,WATSON CAR SERVICE INC.,01/23/2015,1853,152
B00029,COMMUNITY CAR SVC CORP,02/20/2015,1852,54
B00457,PREMIUM BRONX CORP,02/01/2015,1851,113
B00310,WATSON CAR SERVICE INC.,05/24/2015,1850,126
B01341,A NEW DAY RAD DISP INC,02/02/2015,1849,151
B01285,UNION RADIO DISPATCH INC,02/14/2015,1849,166
B00457,PREMIUM BRONX CORP,01/30/2015,1848,128
B02653,NEW COLLEGE CAR SVCE INC,03/08/2015,1848,109
B00457,PREMIUM BRONX CORP,01/01/2015,1846,86
B01626,LA NUEVA QUISQUEYA C/S INC,04/26/2015,1844,116
B02653,NEW COLLEGE CAR SVCE INC,02/15/2015,1843,109
B01626,LA NUEVA QUISQUEYA C/S INC,06/20/2015,1843,124
B00310,WATSON CAR SERVICE INC.,04/19/2015,1842,122
B01016,810 CAR SVCE CORP,07/01/2015,1842,72
B01386,FENIX CAR SVCE CORP,01/01/2015,1841,136
B02653,NEW COLLEGE CAR SVCE INC,03/21/2015,1839,111
B00310,WATSON CAR SERVICE INC.,05/22/2015,1839,145
B00256,FAST OPERATING CORP,03/29/2015,1838,527
B00310,WATSON CAR SERVICE INC.,03/01/2015,1835,123
B01341,A NEW DAY RAD DISP INC,02/19/2015,1834,161
B00310,WATSON CAR SERVICE INC.,03/18/2015,1833,145
B01341,A NEW DAY RAD DISP INC,02/04/2015,1831,172
B00457,PREMIUM BRONX CORP,02/24/2015,1831,122
B01626,LA NUEVA QUISQUEYA C/S INC,05/24/2015,1826,116
B00310,WATSON CAR SERVICE INC.,02/11/2015,1825,151
B00310,WATSON CAR SERVICE INC.,04/17/2015,1825,138
B01315,"V.I.T. CAR SERVICE, INC.",03/07/2015,1822,157
B02653,NEW COLLEGE CAR SVCE INC,04/18/2015,1820,123
B01315,"V.I.T. CAR SERVICE, INC.",03/27/2015,1817,165
B00310,WATSON CAR SERVICE INC.,03/17/2015,1816,142
B01606,LA MEXICANA EXPRESS INC.,05/04/2015,1811,118
B00310,WATSON CAR SERVICE INC.,01/08/2015,1809,149
B01315,"V.I.T. CAR SERVICE, INC.",01/30/2015,1808,154
B00310,WATSON CAR SERVICE INC.,04/01/2015,1808,139
B00310,WATSON CAR SERVICE INC.,01/03/2015,1804,151
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/01/2015,1803,618
B01315,"V.I.T. CAR SERVICE, INC.",04/11/2015,1802,164
B00256,FAST OPERATING CORP,05/25/2015,1802,493
B00310,WATSON CAR SERVICE INC.,02/09/2015,1800,152
B00310,WATSON CAR SERVICE INC.,03/16/2015,1800,140
B00310,WATSON CAR SERVICE INC.,02/10/2015,1799,152
B01341,A NEW DAY RAD DISP INC,02/11/2015,1798,168
B01285,UNION RADIO DISPATCH INC,02/01/2015,1796,161
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/08/2015,1796,621
B00310,WATSON CAR SERVICE INC.,03/05/2015,1795,119
B00457,PREMIUM BRONX CORP,02/08/2015,1794,111
B01315,"V.I.T. CAR SERVICE, INC.",01/17/2015,1793,150
B00310,WATSON CAR SERVICE INC.,01/01/2015,1792,119
B02653,NEW COLLEGE CAR SVCE INC,02/07/2015,1790,114
B01606,LA MEXICANA EXPRESS INC.,05/28/2015,1790,117
B01016,810 CAR SVCE CORP,07/26/2015,1788,71
B00029,COMMUNITY CAR SVC CORP,02/27/2015,1787,49
B00029,COMMUNITY CAR SVC CORP,02/14/2015,1784,47
B00310,WATSON CAR SERVICE INC.,05/29/2015,1784,146
B01726,SUPER CLASS RADIO DISP INC,03/14/2015,1783,151
B02653,NEW COLLEGE CAR SVCE INC,03/28/2015,1783,114
B01285,UNION RADIO DISPATCH INC,01/17/2015,1781,166
B01606,LA MEXICANA EXPRESS INC.,05/14/2015,1781,124
B01285,UNION RADIO DISPATCH INC,01/30/2015,1780,172
B00310,WATSON CAR SERVICE INC.,02/16/2015,1780,148
B02653,NEW COLLEGE CAR SVCE INC,01/01/2015,1778,84
B00457,PREMIUM BRONX CORP,02/17/2015,1778,120
B01626,LA NUEVA QUISQUEYA C/S INC,06/21/2015,1778,114
B00310,WATSON CAR SERVICE INC.,05/07/2015,1774,149
B00457,PREMIUM BRONX CORP,02/26/2015,1773,133
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/25/2015,1772,623
B01341,A NEW DAY RAD DISP INC,02/05/2015,1771,164
B02653,NEW COLLEGE CAR SVCE INC,04/04/2015,1769,110
B01626,LA NUEVA QUISQUEYA C/S INC,04/12/2015,1768,124
B01315,"V.I.T. CAR SERVICE, INC.",01/10/2015,1767,150
B02653,NEW COLLEGE CAR SVCE INC,03/20/2015,1767,113
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,01/01/2015,1765,579
B01285,UNION RADIO DISPATCH INC,02/08/2015,1764,153
B00310,WATSON CAR SERVICE INC.,01/06/2015,1762,148
B01016,810 CAR SVCE CORP,07/30/2015,1762,74
