Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B02564,LAGUARDIA LUXURY CAR & LIMO,04/19/2015,4,2
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",04/19/2015,4,4
B01957,"ANIMO, INC",04/20/2015,4,1
B02127,"CONTINENTAL RIDE, INC.",04/20/2015,4,3
B02167,MADISON LIMOUSINE INC,04/20/2015,4,1
B02681,DIRECT CAR & LIMO SERVICE INC.,04/20/2015,4,3
B02727,OSCAR LIMOUSINE INC,04/20/2015,4,2
B02127,"CONTINENTAL RIDE, INC.",04/21/2015,4,2
B02182,"FINEST CAR SERVICE, LLC",04/21/2015,4,2
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,04/21/2015,4,4
B02673,CONCORDE LIMOUSINE INC,04/21/2015,4,4
B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,04/21/2015,4,4
B01367,"ROYAL DISPATCH SERVICES, INC.",04/22/2015,4,2
B01928,DISCOVER LIMO INC,04/22/2015,4,2
B02127,"CONTINENTAL RIDE, INC.",04/22/2015,4,3
B02142,ASCENT LIMOUSINE INC.,04/22/2015,4,4
B02182,"FINEST CAR SERVICE, LLC",04/22/2015,4,2
B02667,LEON LUXURY LIMO INC,04/22/2015,4,3
